method_key,method_label,image_id,haze_level,psnr,ssim_gaussian11,deltaE00
spagan_review2026,SpA-GAN,rrshid_test_0001_1,moderate,18.976089477539062,0.5687313079833984,8.74127197265625
spagan_review2026,SpA-GAN,rrshid_test_0002_1014,moderate,26.912578582763672,0.797726035118103,4.2462310791015625
spagan_review2026,SpA-GAN,rrshid_test_0003_1021,moderate,25.536958694458008,0.7948060035705566,3.9465057849884033
spagan_review2026,SpA-GAN,rrshid_test_0004_1048,moderate,28.199920654296875,0.8312913179397583,3.6372668743133545
spagan_review2026,SpA-GAN,rrshid_test_0005_1067,moderate,25.856117248535156,0.7828949093818665,4.650903701782227
spagan_review2026,SpA-GAN,rrshid_test_0006_1072,moderate,24.763574600219727,0.700822651386261,5.363236904144287
spagan_review2026,SpA-GAN,rrshid_test_0007_108,moderate,17.21983528137207,0.5293753743171692,10.417887687683105
spagan_review2026,SpA-GAN,rrshid_test_0008_1098,moderate,23.210241317749023,0.7302297353744507,5.421236991882324
spagan_review2026,SpA-GAN,rrshid_test_0009_1101,moderate,22.54531478881836,0.5576972365379333,6.196984767913818
spagan_review2026,SpA-GAN,rrshid_test_0010_1108,moderate,23.2073974609375,0.7529398798942566,4.600541114807129
spagan_review2026,SpA-GAN,rrshid_test_0011_1134,moderate,21.467872619628906,0.6645315289497375,6.998772144317627
spagan_review2026,SpA-GAN,rrshid_test_0012_1167,moderate,24.838220596313477,0.769551157951355,5.055970668792725
spagan_review2026,SpA-GAN,rrshid_test_0013_1190,moderate,23.11618995666504,0.6373637914657593,5.972780227661133
spagan_review2026,SpA-GAN,rrshid_test_0014_1201,moderate,21.786476135253906,0.6562321186065674,6.160449504852295
spagan_review2026,SpA-GAN,rrshid_test_0015_1209,moderate,29.297489166259766,0.8268826603889465,4.461430549621582
spagan_review2026,SpA-GAN,rrshid_test_0016_1219,moderate,19.00238800048828,0.48671674728393555,8.772066116333008
spagan_review2026,SpA-GAN,rrshid_test_0017_1233,moderate,23.373497009277344,0.7581424117088318,5.395284652709961
spagan_review2026,SpA-GAN,rrshid_test_0018_1249,moderate,23.56203269958496,0.6381338238716125,6.447569370269775
spagan_review2026,SpA-GAN,rrshid_test_0019_1253,moderate,20.529624938964844,0.5560653209686279,8.148948669433594
spagan_review2026,SpA-GAN,rrshid_test_0020_1264,moderate,25.603303909301758,0.834075927734375,4.957894325256348
spagan_review2026,SpA-GAN,rrshid_test_0021_1271,moderate,23.194238662719727,0.6956195831298828,5.547064781188965
spagan_review2026,SpA-GAN,rrshid_test_0022_1294,moderate,25.593650817871094,0.7466299533843994,4.313231468200684
spagan_review2026,SpA-GAN,rrshid_test_0023_1299,moderate,23.927783966064453,0.7394284009933472,5.854846000671387
spagan_review2026,SpA-GAN,rrshid_test_0024_1305,moderate,24.9555606842041,0.7360082864761353,5.808149814605713
spagan_review2026,SpA-GAN,rrshid_test_0025_1311,moderate,23.9676513671875,0.6232864856719971,5.506814002990723
spagan_review2026,SpA-GAN,rrshid_test_0026_1321,moderate,24.10653305053711,0.6962701678276062,6.174071788787842
spagan_review2026,SpA-GAN,rrshid_test_0027_1339,moderate,23.50527572631836,0.7262163162231445,6.723102569580078
spagan_review2026,SpA-GAN,rrshid_test_0028_134,moderate,25.1008243560791,0.7525643110275269,5.11715030670166
spagan_review2026,SpA-GAN,rrshid_test_0029_136,moderate,21.94363784790039,0.6409445405006409,6.717477798461914
spagan_review2026,SpA-GAN,rrshid_test_0030_1398,moderate,20.329744338989258,0.5687191486358643,8.40345287322998
spagan_review2026,SpA-GAN,rrshid_test_0031_1408,moderate,23.34941864013672,0.6699151992797852,5.928949356079102
spagan_review2026,SpA-GAN,rrshid_test_0032_1414,moderate,24.554336547851562,0.6489604711532593,5.206129550933838
spagan_review2026,SpA-GAN,rrshid_test_0033_1443,moderate,21.909215927124023,0.5629714727401733,6.432149410247803
spagan_review2026,SpA-GAN,rrshid_test_0034_145,moderate,18.25539779663086,0.6259914040565491,8.291698455810547
spagan_review2026,SpA-GAN,rrshid_test_0035_1453,moderate,23.071739196777344,0.7093621492385864,5.396010398864746
spagan_review2026,SpA-GAN,rrshid_test_0036_1463,moderate,25.426652908325195,0.7728658318519592,4.737837791442871
spagan_review2026,SpA-GAN,rrshid_test_0037_1469,moderate,23.65243911743164,0.7026242613792419,5.4164276123046875
spagan_review2026,SpA-GAN,rrshid_test_0038_154,moderate,17.997886657714844,0.5052167773246765,10.495085716247559
spagan_review2026,SpA-GAN,rrshid_test_0039_1542,moderate,22.204992294311523,0.677498459815979,6.673011779785156
spagan_review2026,SpA-GAN,rrshid_test_0040_1543,moderate,20.475027084350586,0.5671098232269287,7.930212497711182
spagan_review2026,SpA-GAN,rrshid_test_0041_1555,moderate,23.393390655517578,0.6161040663719177,6.093466758728027
spagan_review2026,SpA-GAN,rrshid_test_0042_1561,moderate,18.612592697143555,0.5510762333869934,9.691924095153809
spagan_review2026,SpA-GAN,rrshid_test_0043_1563,moderate,23.923351287841797,0.6419296860694885,5.603009223937988
spagan_review2026,SpA-GAN,rrshid_test_0044_1601,moderate,27.474515914916992,0.8144780993461609,3.9303369522094727
spagan_review2026,SpA-GAN,rrshid_test_0045_1606,moderate,17.385156631469727,0.33448946475982666,11.3401460647583
spagan_review2026,SpA-GAN,rrshid_test_0046_1608,moderate,16.882795333862305,0.2596796751022339,11.424108505249023
spagan_review2026,SpA-GAN,rrshid_test_0047_163,moderate,27.7393741607666,0.7682197093963623,3.7626266479492188
spagan_review2026,SpA-GAN,rrshid_test_0048_1636,moderate,18.390905380249023,0.33821263909339905,9.430684089660645
spagan_review2026,SpA-GAN,rrshid_test_0049_1666,moderate,15.64283561706543,0.26134562492370605,13.721460342407227
spagan_review2026,SpA-GAN,rrshid_test_0050_1673,moderate,15.879889488220215,0.3108990490436554,13.362163543701172
spagan_review2026,SpA-GAN,rrshid_test_0051_1691,moderate,16.846860885620117,0.30778664350509644,11.927467346191406
spagan_review2026,SpA-GAN,rrshid_test_0052_1706,moderate,13.624227523803711,0.22299206256866455,15.501065254211426
spagan_review2026,SpA-GAN,rrshid_test_0053_1741,moderate,17.323646545410156,0.29710453748703003,11.978185653686523
spagan_review2026,SpA-GAN,rrshid_test_0054_1787,moderate,19.2064266204834,0.2430671751499176,9.501321792602539
spagan_review2026,SpA-GAN,rrshid_test_0055_1809,moderate,18.164508819580078,0.32632875442504883,10.263623237609863
spagan_review2026,SpA-GAN,rrshid_test_0056_1810,moderate,19.41956329345703,0.3797912299633026,9.002198219299316
spagan_review2026,SpA-GAN,rrshid_test_0057_1814,moderate,15.92659854888916,0.3269096910953522,12.227248191833496
spagan_review2026,SpA-GAN,rrshid_test_0058_1822,moderate,17.191226959228516,0.2806062400341034,10.957356452941895
spagan_review2026,SpA-GAN,rrshid_test_0059_1844,moderate,12.605621337890625,0.24089571833610535,19.595247268676758
spagan_review2026,SpA-GAN,rrshid_test_0060_1856,moderate,19.339601516723633,0.27325156331062317,8.4281644821167
spagan_review2026,SpA-GAN,rrshid_test_0061_1869,moderate,16.339412689208984,0.15601179003715515,12.142508506774902
spagan_review2026,SpA-GAN,rrshid_test_0062_1873,moderate,17.787769317626953,0.20666363835334778,10.363866806030273
spagan_review2026,SpA-GAN,rrshid_test_0063_1899,moderate,14.711587905883789,0.22340086102485657,14.804920196533203
spagan_review2026,SpA-GAN,rrshid_test_0064_1900,moderate,19.637435913085938,0.2951087951660156,9.697147369384766
spagan_review2026,SpA-GAN,rrshid_test_0065_1929,moderate,16.772655487060547,0.17582803964614868,11.620760917663574
spagan_review2026,SpA-GAN,rrshid_test_0066_193,moderate,23.213293075561523,0.6781514883041382,5.945712566375732
spagan_review2026,SpA-GAN,rrshid_test_0067_1931,moderate,18.59473991394043,0.12781205773353577,9.159537315368652
spagan_review2026,SpA-GAN,rrshid_test_0068_1935,moderate,18.374225616455078,0.31205523014068604,10.17794132232666
spagan_review2026,SpA-GAN,rrshid_test_0069_1961,moderate,18.251291275024414,0.3639766573905945,10.125401496887207
spagan_review2026,SpA-GAN,rrshid_test_0070_1985,moderate,17.970754623413086,0.22226515412330627,12.257570266723633
spagan_review2026,SpA-GAN,rrshid_test_0071_1989,moderate,18.227617263793945,0.29803478717803955,10.398488998413086
spagan_review2026,SpA-GAN,rrshid_test_0072_2040,moderate,15.962318420410156,0.40289705991744995,12.724557876586914
spagan_review2026,SpA-GAN,rrshid_test_0073_2041,moderate,16.01262855529785,0.5438573956489563,12.66141128540039
spagan_review2026,SpA-GAN,rrshid_test_0074_2044,moderate,13.449397087097168,0.2706877589225769,17.711151123046875
spagan_review2026,SpA-GAN,rrshid_test_0075_2049,moderate,20.595033645629883,0.30956605076789856,7.956178665161133
spagan_review2026,SpA-GAN,rrshid_test_0076_2060,moderate,23.130399703979492,0.5039583444595337,7.304691314697266
spagan_review2026,SpA-GAN,rrshid_test_0077_2061,moderate,20.398969650268555,0.4413709342479706,8.62685775756836
spagan_review2026,SpA-GAN,rrshid_test_0078_2106,moderate,20.98245620727539,0.42132851481437683,8.212811470031738
spagan_review2026,SpA-GAN,rrshid_test_0079_2107,moderate,20.508590698242188,0.4205550253391266,8.501415252685547
spagan_review2026,SpA-GAN,rrshid_test_0080_2108,moderate,19.747787475585938,0.3786488175392151,8.138876914978027
spagan_review2026,SpA-GAN,rrshid_test_0081_2116,moderate,17.373512268066406,0.4418046474456787,10.545166015625
spagan_review2026,SpA-GAN,rrshid_test_0082_2132,moderate,20.379291534423828,0.4210037291049957,8.051200866699219
spagan_review2026,SpA-GAN,rrshid_test_0083_2143,moderate,17.56450080871582,0.41383278369903564,10.820169448852539
spagan_review2026,SpA-GAN,rrshid_test_0084_2146,moderate,14.239472389221191,0.27280518412590027,15.51882266998291
spagan_review2026,SpA-GAN,rrshid_test_0085_2174,moderate,20.04655647277832,0.5087943077087402,8.508225440979004
spagan_review2026,SpA-GAN,rrshid_test_0086_2236,moderate,20.335472106933594,0.3615303039550781,8.144296646118164
spagan_review2026,SpA-GAN,rrshid_test_0087_2237,moderate,20.587627410888672,0.3489697277545929,8.481508255004883
spagan_review2026,SpA-GAN,rrshid_test_0088_2261,moderate,17.724336624145508,0.4628104865550995,10.542251586914062
spagan_review2026,SpA-GAN,rrshid_test_0089_2297,moderate,13.645071983337402,0.40462586283683777,16.140409469604492
spagan_review2026,SpA-GAN,rrshid_test_0090_2299,moderate,12.32287883758545,0.35032710433006287,19.71881675720215
spagan_review2026,SpA-GAN,rrshid_test_0091_2313,moderate,19.328535079956055,0.4022338092327118,9.903871536254883
spagan_review2026,SpA-GAN,rrshid_test_0092_2331,moderate,18.559120178222656,0.39763039350509644,10.062573432922363
spagan_review2026,SpA-GAN,rrshid_test_0093_2350,moderate,19.237730026245117,0.42261287569999695,9.921930313110352
